"","Date","Year","Month","Dayofweek","Count"
"422",2013-02-26,"2013","02","2",617
"423",2013-02-27,"2013","02","3",539
"424",2013-02-28,"2013","02","4",632
"425",2013-03-01,"2013","03","5",699
"426",2013-03-02,"2013","03","6",579
"427",2013-03-03,"2013","03","7",559
"428",2013-03-04,"2013","03","1",625
"429",2013-03-05,"2013","03","2",619
"430",2013-03-06,"2013","03","3",619
"431",2013-03-07,"2013","03","4",596
"432",2013-03-08,"2013","03","5",639
"433",2013-03-09,"2013","03","6",603
"434",2013-03-10,"2013","03","7",624
"435",2013-03-11,"2013","03","1",589
"436",2013-03-12,"2013","03","2",615
"437",2013-03-13,"2013","03","3",562
"438",2013-03-14,"2013","03","4",618
"439",2013-03-15,"2013","03","5",562
"440",2013-03-16,"2013","03","6",568
"441",2013-03-17,"2013","03","7",555
"442",2013-03-18,"2013","03","1",628
"443",2013-03-19,"2013","03","2",641
"444",2013-03-20,"2013","03","3",607
"445",2013-03-21,"2013","03","4",580
"446",2013-03-22,"2013","03","5",647
"447",2013-03-23,"2013","03","6",611
"448",2013-03-24,"2013","03","7",586
"449",2013-03-25,"2013","03","1",636
"450",2013-03-26,"2013","03","2",621
"451",2013-03-27,"2013","03","3",588
"452",2013-03-28,"2013","03","4",649
"453",2013-03-29,"2013","03","5",568
"454",2013-03-30,"2013","03","6",579
"455",2013-03-31,"2013","03","7",583
"456",2013-04-01,"2013","04","1",588
"457",2013-04-02,"2013","04","2",550
"458",2013-04-03,"2013","04","3",619
"459",2013-04-04,"2013","04","4",622
"460",2013-04-05,"2013","04","5",665
"461",2013-04-06,"2013","04","6",588
"462",2013-04-07,"2013","04","7",589
"463",2013-04-08,"2013","04","1",607
"464",2013-04-09,"2013","04","2",588
"465",2013-04-10,"2013","04","3",589
"466",2013-04-11,"2013","04","4",599
"467",2013-04-12,"2013","04","5",615
"468",2013-04-13,"2013","04","6",605
"469",2013-04-14,"2013","04","7",599
"470",2013-04-15,"2013","04","1",637
"471",2013-04-16,"2013","04","2",623
"472",2013-04-17,"2013","04","3",633
"473",2013-04-18,"2013","04","4",612
"474",2013-04-19,"2013","04","5",605
"475",2013-04-20,"2013","04","6",573
"476",2013-04-21,"2013","04","7",567
"477",2013-04-22,"2013","04","1",609
"478",2013-04-23,"2013","04","2",581
"479",2013-04-24,"2013","04","3",561
"480",2013-04-25,"2013","04","4",590
"481",2013-04-26,"2013","04","5",645
"482",2013-04-27,"2013","04","6",644
"483",2013-04-28,"2013","04","7",630
"484",2013-04-29,"2013","04","1",642
"485",2013-04-30,"2013","04","2",681
"486",2013-05-01,"2013","05","3",707
"487",2013-05-02,"2013","05","4",663
"488",2013-05-03,"2013","05","5",702
"489",2013-05-04,"2013","05","6",647
"490",2013-05-05,"2013","05","7",684
"491",2013-05-06,"2013","05","1",671
"492",2013-05-07,"2013","05","2",685
"493",2013-05-08,"2013","05","3",666
"494",2013-05-09,"2013","05","4",694
"495",2013-05-10,"2013","05","5",678
"496",2013-05-11,"2013","05","6",586
"497",2013-05-12,"2013","05","7",593
"498",2013-05-13,"2013","05","1",644
"499",2013-05-14,"2013","05","2",621
"500",2013-05-15,"2013","05","3",621
"501",2013-05-16,"2013","05","4",655
"502",2013-05-17,"2013","05","5",626
"503",2013-05-18,"2013","05","6",614
"504",2013-05-19,"2013","05","7",575
"505",2013-05-20,"2013","05","1",572
"506",2013-05-21,"2013","05","2",672
"507",2013-05-22,"2013","05","3",658
"508",2013-05-23,"2013","05","4",674
"509",2013-05-24,"2013","05","5",620
"510",2013-05-25,"2013","05","6",564
"511",2013-05-26,"2013","05","7",597
"512",2013-05-27,"2013","05","1",657
"513",2013-05-28,"2013","05","2",588
"514",2013-05-29,"2013","05","3",645
"515",2013-05-30,"2013","05","4",699
"516",2013-05-31,"2013","05","5",744
"517",2013-06-01,"2013","06","6",670
"518",2013-06-02,"2013","06","7",655
"519",2013-06-03,"2013","06","1",685
"520",2013-06-04,"2013","06","2",635
"521",2013-06-05,"2013","06","3",659
"522",2013-06-06,"2013","06","4",619
"523",2013-06-07,"2013","06","5",689
"524",2013-06-08,"2013","06","6",593
"525",2013-06-09,"2013","06","7",647
"526",2013-06-10,"2013","06","1",684
"527",2013-06-11,"2013","06","2",629
"528",2013-06-12,"2013","06","3",656
"529",2013-06-13,"2013","06","4",672
"530",2013-06-14,"2013","06","5",635
"531",2013-06-15,"2013","06","6",627
"532",2013-06-16,"2013","06","7",632
"533",2013-06-17,"2013","06","1",685
"534",2013-06-18,"2013","06","2",646
"535",2013-06-19,"2013","06","3",664
"536",2013-06-20,"2013","06","4",636
"537",2013-06-21,"2013","06","5",687
"538",2013-06-22,"2013","06","6",647
"539",2013-06-23,"2013","06","7",649
"540",2013-06-24,"2013","06","1",701
"541",2013-06-25,"2013","06","2",664
"542",2013-06-26,"2013","06","3",751
"543",2013-06-27,"2013","06","4",706
"544",2013-06-28,"2013","06","5",669
"545",2013-06-29,"2013","06","6",702
"546",2013-06-30,"2013","06","7",718
"547",2013-07-01,"2013","07","1",636
"548",2013-07-02,"2013","07","2",697
"549",2013-07-03,"2013","07","3",676
"550",2013-07-04,"2013","07","4",649
"551",2013-07-05,"2013","07","5",644
"552",2013-07-06,"2013","07","6",675
"553",2013-07-07,"2013","07","7",641
"554",2013-07-08,"2013","07","1",708
"555",2013-07-09,"2013","07","2",672
"556",2013-07-10,"2013","07","3",662
"557",2013-07-11,"2013","07","4",661
"558",2013-07-12,"2013","07","5",672
"559",2013-07-13,"2013","07","6",653
"560",2013-07-14,"2013","07","7",715
"561",2013-07-15,"2013","07","1",692
"562",2013-07-16,"2013","07","2",756
"563",2013-07-17,"2013","07","3",678
"564",2013-07-18,"2013","07","4",713
"565",2013-07-19,"2013","07","5",771
"566",2013-07-20,"2013","07","6",696
"567",2013-07-21,"2013","07","7",624
"568",2013-07-22,"2013","07","1",755
"569",2013-07-23,"2013","07","2",655
"570",2013-07-24,"2013","07","3",624
"571",2013-07-25,"2013","07","4",681
"572",2013-07-26,"2013","07","5",635
"573",2013-07-27,"2013","07","6",624
"574",2013-07-28,"2013","07","7",611
"575",2013-07-29,"2013","07","1",658
"576",2013-07-30,"2013","07","2",642
"577",2013-07-31,"2013","07","3",673
"578",2013-08-01,"2013","08","4",677
"579",2013-08-02,"2013","08","5",633
"580",2013-08-03,"2013","08","6",730
"581",2013-08-04,"2013","08","7",597
